noc_code,noc_label,indicator,unit,n_measurements,n_patients,n_stays,mean_value,median_value,sd_value,min_value,max_value,q25,q75,pct_abnormal
1101,Integridade Tissular: Pele e Mucosas,Escore de Braden,6-23,1469,1032,1,14.6562287270252,15,5.16613603354873,6,23,10,19,36.8
0601,Equilíbrio Hídrico,Volume Infundido,mL,96000,2000,1200,148.891164668739,20.1330327882625,1121.44810180559,0.5,214847.409520206,5.24492612377889,77.7775833315764,0
0601,Equilíbrio Hídrico,Débito Urinário,mL,60000,2000,1200,243.563197499734,147.159779795906,317.408745308122,5,11122.313116509,75.6361163984106,289.873876303198,0
0802,Estado dos Sinais Vitais,Pressão Arterial Sistólica,mmHg,13149,1997,1200,113.008551870303,115.840289650579,31.7890361098072,30,222.319670294386,88.5339363701816,135.975577411547,46.9
0802,Estado dos Sinais Vitais,Frequência Cardíaca,bpm,7364,1943,1196,56.3478545854628,38.1327464243687,26.0733414601437,30,138.823133983096,36.7469343456739,79.1732325255852,71
0415,Estado Respiratório,Frequência Respiratória,rpm,11712,1994,1200,17.9781954939831,17.963672943321,5.00657943790235,6,37.9119125673611,14.6055432458486,21.3445805486899,46.2
0601,Equilíbrio Hídrico,Peso Corporal,kg,11589,1994,1200,78.3767594354819,78.4778952319651,21.8503277668229,30,177.382443103645,63.50919053452,93.2506256354597,0
0802,Estado dos Sinais Vitais,Pressão Arterial Diastólica,mmHg,11723,1991,1200,71.8607259099496,71.888239858633,15.0595029582976,30,133.814667048991,61.6899586849439,81.775381479268,0
0802,Estado dos Sinais Vitais,Temperatura Corporal,°C,10282,1987,1200,36.9876579080014,36.9743517950282,1.18651111563581,31.7621818901676,41.1688273177963,36.1931012173432,37.7850267946991,40
0415,Estado Respiratório,Saturação de Oxigênio,%,7159,1941,1196,94.9749933934323,94.9757588487482,6.00857200662359,70.4040473572403,117.39632678979,90.9042017914769,98.9653718546061,31.2
0912,Estado Neurológico: Consciência,Escala de Coma de Glasgow,score,4382,1783,1166,12.0440438156093,13,2.53072872695371,3,15,11,14,9.5
1605,Controle da Dor,Intensidade da Dor (NRS),0-10,8889,1978,1200,7.30307121160986,7,4.4627864993606,0,15,4,11,53.5
